id,Eps,maxEps,
0,0.141421,7.73951,
1,0.141421,7.64591,
2,0.244949,7.80064,
3,0.173205,7.64003,
4,0.173205,7.73305,
5,0.34641,7.81665,
6,0.264575,7.72658,
7,0.141421,7.60526,
8,0.3,7.74726,
9,0,7.62299,
10,0.331662,7.11407,
11,0.316228,6.63174,
12,0.282843,6.92532,
13,0.3,5.78187,
14,0.316228,6.52227,
15,0.316228,5.99917,
16,0.374166,6.5261,
17,0.387298,5.81206,
18,0.244949,6.72161,
19,0.509902,5.71139,
20,0.458258,5.6542,
21,0.5,6.39296,
22,0.264575,5.69473,
23,0.4,6.99929,
24,0.244949,6.29444,
25,0.316228,6.44127,
26,0.52915,7.59276,
27,0.761577,5.0951,
28,0.43589,7.28766,
29,0.6,6.51613,
30,0.67082,7.31163,
